Rk,I,Team,Split,Year,G,RC,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
276,,ATL,Batting 3rd,2012,173,80.3,162,713,641,88,149,28,4,26,92,12,5,63,163,.232,.299,.410,.709,263,10,1,0,8,3,8,.267,99,74
277,,KCR,Batting 3rd,2012,175,79.7,162,717,644,79,157,26,2,22,85,13,3,61,146,.244,.312,.393,.705,253,16,6,0,6,6,1,.280,97,74
278,,CLE,Batting 3rd,2011,179,79.3,162,716,630,86,152,27,4,19,78,17,8,68,158,.241,.323,.387,.710,244,17,11,0,7,5,4,.289,100,77
279,,SFG,Batting 3rd,2006,202,79.2,161,713,654,101,169,25,7,21,96,4,2,49,89,.258,.313,.414,.728,271,26,5,1,4,1,6,.270,95,72
280,,BAL,Batting 3rd,2010,168,78.6,162,715,634,67,168,42,2,9,56,5,2,68,108,.265,.336,.380,.716,241,26,4,1,8,7,5,.303,105,76
281,,OAK,Batting 3rd,2009,195,78.3,162,730,645,96,153,32,2,17,88,13,2,66,123,.237,.311,.372,.683,240,14,8,0,11,3,8,.264,89,64
282,,SEA,Batting 3rd,2010,175,78.3,162,700,620,62,141,33,3,23,90,11,1,68,171,.227,.303,.402,.705,249,13,3,1,8,4,5,.272,120,72
283,,TBR,Batting 3rd,2015,172,78.0,162,703,645,67,163,31,3,19,74,3,1,45,143,.253,.303,.398,.701,257,12,5,0,8,6,6,.293,95,72
284,,SEA,Batting 3rd,2013,174,77.9,162,714,632,68,145,30,1,22,69,7,0,71,135,.229,.312,.384,.697,243,16,7,0,4,1,7,.257,100,75
285,,KCR,Batting 3rd,2008,179,77.8,162,718,634,73,157,41,1,12,78,3,5,66,140,.248,.327,.372,.700,236,14,12,0,6,9,5,.297,96,71
286,,SDP,Batting 3rd,2014,211,76.8,162,698,596,63,139,38,4,10,52,6,0,89,137,.233,.335,.361,.696,215,16,6,0,7,2,8,.283,120,76
287,,OAK,Batting 3rd,2013,176,76.7,162,731,660,92,159,33,1,20,89,6,2,62,142,.241,.309,.385,.694,254,20,5,0,4,7,5,.277,86,74
288,,OAK,Batting 3rd,2008,199,76.7,161,717,615,80,140,20,0,20,69,8,3,92,151,.228,.331,.358,.688,220,15,5,0,5,3,5,.267,101,69
289,,SEA,Batting 3rd,2012,168,76.3,162,707,651,65,169,34,4,11,65,16,2,45,113,.260,.311,.375,.686,244,16,6,0,5,4,0,.297,107,70
